Prod id;07/04/2025;14/04/2025;21/04/2025;28/04/2025
1277;0;0;0;0
1278;35.70457143;35.78864286;35.66579365;35.99899286
1279;3.758142857;3.765571429;3.751060847;3.784671429
1280;22.6595;22.76964286;22.7940582;23.12823571
1281;50.51314286;50.73992857;50.76059524;51.46398571
1282;36.56064286;36.70685714;36.68721958;37.15600714
1283;0;0;0;0
1284;30.38285714;30.52685714;30.55203704;30.99072857
1285;7.740714286;7.777857143;7.785637566;7.899107143
1286;18.28671429;18.35135714;18.32783069;18.54607857
1287;0.138928571;0.1395;0.138989418;0.14
1288;0;0;0;0
1289;5.406428571;5.427714286;5.424777778;5.494321429
1290;0;0;0;0
1292;2.389357143;2.398357143;2.39810582;2.429514286
1296;0;0;0;0
1297;0;0;0;0
1298;0;0;0;0
1299;0;0;0;0
1300;0;0;0;0
1301;74.168;74.50842857;74.55012169;75.59786429
1302;9.507428571;9.551142857;9.556952381;9.691228571
1303;144.3069286;144.6088571;144.049119;145.3215214
1304;190.7395714;191.4407857;191.237037;193.5596786
1305;0;0;0;0
1310;0;0;0;0
1314;0;0;0;0
1315;0;0;0;0
1316;0;0;0;0
1317;0;0;0;0
1318;0;0;0;0
1319;0;0;0;0
1320;8.920785714;13.3425;14.29083333;5.471535714
1321;18.32242857;20.27921429;21.31622222;18.86142143
1322;0.687785714;0.980785714;1.067698413;0.531178571
1323;0.813071429;1.420785714;1.566962963;0.375478571
1324;0.837928571;1.4755;1.762206349;0.756135714
1325;0.976857143;1.476714286;1.630177249;0.717428571
1326;1.642285714;2.009428571;2.229944444;1.779421429
1327;0.730857143;1.338142857;1.710915344;0.934457143
1328;0.730857143;1.338142857;1.710915344;0.934457143
1332;0;0;0;0
1333;0;0;0;0
1334;0;0;0;0
1335;0;0;0;0
1336;7.803285714;7.828714286;7.814544974;7.90265
1337;16.83978571;16.91392857;16.9184418;17.15006429
1339;28.08014286;28.19735714;28.19278571;28.56518571
1344;174.9785;175.2915;174.5184286;175.9481071
1348;35.838;35.93771429;35.84208466;36.21002143
1350;4.630642857;4.639357143;4.621010582;4.661792857
1351;0.344571429;0.342928571;0.337814815;0.336907143
1354;245.6570714;246.6731429;246.613828;249.8493357
1355;0;0;0;0
1356;0;0;0;0
1360;0;0;0;0
1361;4.064285714;4.081142857;4.080589947;4.135157143
1362;4.1395;4.152357143;4.145029101;4.1908
1363;5.971214286;5.987357143;5.970145503;6.029828571
1364;0;0;0;0
1365;5.112357143;5.1245;5.107346561;5.156092857
1366;28.40442857;28.53107143;28.53971164;28.93341429
1367;39.22257143;39.34671429;39.26929365;39.70550714
1368;10.55242857;10.58614286;10.56618254;10.68485
1369;5.188142857;5.206714286;5.200687831;5.263192857
1373;7.5185;7.544642857;7.53368254;7.621871429
1374;3.1945;3.205571429;3.200291005;3.2372
1375;10.49492857;10.53157143;10.5159127;10.63780714
1377;5.750428571;5.774642857;5.772410053;5.846714286
1378;0;0;0;0
1379;0;0;0;0
1381;5.903214286;5.923785714;5.91381746;5.981228571
1382;33.82978571;33.9245;33.83564021;34.18451429
1383;0.417142857;0.4185;0.417044974;0.420564286
1384;0;0;0;0
1385;8.7535;8.782642857;8.766399471;8.864907143
1387;0;0;0;0
1388;0;0;0;0
1390;11.11728571;11.16728571;11.17182011;11.32665714
1391;0;0;0;0
1392;0;0;0;0
1393;0;0;0;0
1394;3.673642857;3.684928571;3.676748677;3.7165
1395;0;0;0;0
1396;0;0;0;0
1397;0;0;0;0
1398;1.571071429;1.577714286;1.576965608;1.597121429
1399;1.791785714;1.799214286;1.797986772;1.820292857
1400;1.784571429;1.790571429;1.788201058;1.809728571
1401;10.2655;10.28635714;10.24734127;10.33944286
1402;30.57392857;30.63578571;30.51260847;30.77692857
1403;12.02864286;12.06971429;12.05091799;12.19041429
1404;4.661357143;4.675357143;4.664534392;4.713971429
1405;0;0;0;0
1407;4.778928571;4.797;4.791539683;4.850235714
1408;0;0;0;0
1409;0;0;0;0
1410;0;0;0;0
1415;7.128857143;7.156071429;7.151452381;7.241442857
1416;12.94971429;12.98464286;12.94764815;13.07769286
1417;7.717714286;7.739214286;7.719357143;7.800121429
1418;1.251;1.255642857;1.255214286;1.271907143
1419;17.50464286;17.89092857;17.79958201;17.95725
1423;0;0;0;0
1424;0;0;0;0
1425;0;0;0;0
1426;0;0;0;0
1427;60.06607143;60.21064286;60.01186772;60.58204286
1428;20.9795;21.04285714;20.99804497;21.22639286
1429;62.24585714;62.374;62.12825661;62.67125
1430;15.1835;15.237;15.21716667;15.39705
1434;142.0340714;141.7068571;139.9979444;140.0583429
1435;117.2027143;116.7702143;115.0705741;114.7744571
1436;28.597;28.67721429;28.60211111;28.89694286
1437;7.617357143;7.6415;7.626050265;7.710042857
1439;0;0;0;0
1440;7.526357143;7.547;7.526661376;7.603992857
1441;0;0;0;0
1443;12.07021429;12.104;12.07125132;12.19444286
1444;23.5725;23.65292857;23.61702646;23.89195714
1448;17.50478571;17.57871429;17.57830423;17.81345
1449;12.62228571;12.67071429;12.66012963;12.81667857
1450;41.17278571;41.35671429;41.37061111;41.94162857
1460;16.70364286;16.76007143;16.73402381;16.92812143
1461;6.993285714;7.015928571;7.004150794;7.084478571
1462;11.26057143;11.29842857;11.27883333;11.40710714
1463;2.272571429;2.280642857;2.277650794;2.305857143
1464;3.546642857;3.5635;3.5655;3.614942857
1465;29.29157143;29.41757143;29.41927778;29.81553571
1466;1.382785714;1.387857143;1.386515873;1.4036
1468;5.414714286;5.438857143;5.441190476;5.51685
1469;6.174642857;6.199285714;6.197071429;6.277492857
1470;3.931285714;3.949;3.952269841;4.008814286
1471;3.590785714;3.600428571;3.59173545;3.629107143
1472;8.855571429;8.889928571;8.884227513;8.996521429
1473;4.724;4.741071429;4.735597884;4.792978571
1475;10.697;10.7285;10.70296032;10.81584286
1476;4.785071429;4.802928571;4.799518519;4.859107143
1477;1.247928571;1.253785714;1.254791005;1.273171429
1478;8.418428571;8.446285714;8.430656085;8.524907143
1481;13.96035714;14.41785714;14.37485714;14.51594286
1482;9.656428571;9.8255;9.80052381;9.901892857
1484;0;0;0;0
1485;5.187857143;3.275357143;3.268468254;3.303892857
1487;0;0;0;0
1489;0;0;0;0
1490;18.74407143;18.70578571;18.48878836;18.50705714
1491;0;0;0;0
1492;0;0;0;0
1493;5.795642857;4.883142857;4.620478836;4.682764286
